generation,sigma,train_losses,stress_losses,non_stress_losses,snapshot_win_rate,endgame_snap_wins,committed_shot_rate,committed_contact_rate,residual_activation_rate,global_deviation_rate,wall_clock_sec
0,0.21875,7,0,7,0.0625,4,0.0304437483274828,0.0025853154084798345,0.04636290967226219,0.0153,396.8713455469697
1,0.19140625,8,0,8,0.0625,4,0.017817720646949226,0.004393673110720563,0.08233413269384493,0.0271,398.5082148479996
2,0.16748046875,8,0,8,0.078125,5,0.017817720646949226,0.004393673110720563,0.08233413269384493,0.0271,399.1709281390067
3,0.14654541015625,7,0,7,0.046875,3,0.0304437483274828,0.0025853154084798345,0.04636290967226219,0.0153,404.97510848601814
4,0.12822723388671875,7,0,7,0.046875,3,0.0304437483274828,0.0025853154084798345,0.04636290967226219,0.0153,409.8013455210021
5,0.1121988296508789,8,0,8,0.125,8,0.017817720646949226,0.004393673110720563,0.08233413269384493,0.0271,414.0186886040028
6,0.09817397594451904,8,0,8,0.078125,5,0.017817720646949226,0.004393673110720563,0.08233413269384493,0.0271,413.17360297602136
7,0.08590222895145416,8,0,8,0.09375,6,0.017817720646949226,0.004393673110720563,0.08233413269384493,0.0271,408.3123873320292
8,0.07516445033252239,8,0,8,0.046875,3,0.017817720646949226,0.004393673110720563,0.08233413269384493,0.0271,405.3732558990014
9,0.0657688940409571,7,0,7,0.046875,3,0.0304437483274828,0.0025853154084798345,0.04636290967226219,0.0153,400.78909413999645
10,0.05754778228583746,7,0,7,0.078125,5,0.0304437483274828,0.0025853154084798345,0.04636290967226219,0.0153,396.228470631002
11,0.050354309500107775,7,0,7,0.03125,2,0.0304437483274828,0.0025853154084798345,0.04636290967226219,0.0153,414.52846383396536
12,0.0440600208125943,8,0,8,0.078125,5,0.021753440115349652,0.002881844380403458,0.08233413269384493,0.0271,418.67790827003773
13,0.04,8,0,8,0.09375,6,0.01797271573604061,0.00441306266548985,0.08233413269384493,0.0271,415.70852630003355
14,0.04,7,0,7,0.0625,4,0.0304437483274828,0.0025853154084798345,0.04636290967226219,0.0153,411.4806294749724
15,0.04,6,0,6,0.046875,3,0.012946841417137027,0.0049261083743842365,0.12603250732747134,0.0408,414.2071765710134
16,0.04,8,0,8,0.03125,2,0.02638212591398018,0.002373887240356083,0.08233413269384493,0.0271,408.9667680449784
17,0.04,7,0,7,0.109375,7,0.0304437483274828,0.0025853154084798345,0.04636290967226219,0.0153,398.6141096359934
18,0.04,8,0,8,0.0625,4,0.025326771776948875,0.0024752475247524753,0.08233413269384493,0.0271,409.497844056983
19,0.04,8,0,8,0.0625,4,0.02336770836598439,0.0026827632461435278,0.08233413269384493,0.0271,412.66726906597614
20,0.04,8,0,8,0.015625,1,0.02440209384697364,0.002569043031470777,0.08233413269384493,0.0271,417.4778699520393
21,0.04,8,0,8,0.0625,4,0.020130771991698007,0.003875968992248062,0.08233413269384493,0.0271,411.54466154199326
22,0.04,7,0,7,0.03125,2,0.018414439113548092,0.0041356492969396195,0.1079136690647482,0.0348,405.7467886239756
23,0.04,8,1,7,0.125,8,0.022404961315721474,0.0027137042062415195,0.08233413269384493,0.0271,406.864622550027
24,0.04,8,0,8,0.0625,4,0.02440209384697364,0.002569043031470777,0.08233413269384493,0.0271,410.104856845981
25,0.04,7,0,7,0.0625,4,0.03066412706408299,0.002566735112936345,0.04636290967226219,0.0153,413.1305021639564
26,0.04,8,0,8,0.015625,1,0.026773552114484334,0.0029239766081871343,0.06581401545430322,0.0218,406.4617436749977
27,0.04,7,0,7,0.0625,4,0.03066412706408299,0.002566735112936345,0.04636290967226219,0.0153,396.45265222899616
28,0.04,8,0,8,0.046875,3,0.02440209384697364,0.002569043031470777,0.08233413269384493,0.0271,286.762863488053
29,0.04,8,1,7,0.046875,3,0.022404961315721474,0.0027137042062415195,0.08233413269384493,0.0271,295.88454591296613
